,keywords,relevance,paper
305,stochastic neighbor,0.2067,Metric learning for kernel ridge regression: assessment of molecular similarity
411,potent combination,0.2067,Two sparsities are better than one: unlocking the performance benefits of sparse–sparse networks
1590,standard model,0.2066,Particle-based fast jet simulation at the LHC with variational autoencoders
130,commodities,0.2061," A Selective Many-to-Many Pickup and Delivery Problem With Handling Cost in the
Omni-Channel Last-Mile Delivery"
548,grid search technique,0.206,Impact of Aircraft Performance and Time of the Day on Flight Arrival Delays Prediction in the United States: a Machine Learning Classification
69,operational issues,0.2057,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
1032,spin,0.2055,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1466,free computing resources,0.2055,SMRETO: Stable Matching for Reliable and Efficient Task Offloading in Fog-Enabled IoT Networks
1426,advanced mes,0.205,Development of an advanced MES for the simulation and optimization of industry 4.0 process
327,aorp,0.2047,Fault-Tolerant Ad Hoc On-Demand Routing Protocol for Mobile Ad Hoc Networks
1233,road,0.2045,Efficient poisoning attacks and defenses for unlabeled data in DDoS prediction of intelligent transportation systems
29,synthetic data,0.2043,Improving parametric neural networks for highenergy physics (and beyond)
1307,shanghai,0.2042,Implicit privacy preservation: a framework based on data generation
347,imperative technology,0.204,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
948,optimal resource usage,0.204,How to apply the ERP model for Smart Mining?
4,digital object identifier,0.2028,"Advanced Mobility Robustness Optimization Models in Future Mobile Networks Based on
Machine Learning Solutions"
1607,beamsplitters,0.2027,Massively scalable wavelength diverse integrated photonic linear neuron
1207,electronic,0.2022,Physical layer security techniques for data transmission for future wireless networks
108,aforementioned problem,0.2021," A Novel Similarity-Based Multi-Attribute Group Decision-Making Method in a Probabilistic
Hesitant Fuzzy Environment"
710,initial functional representation,0.202,A duality connecting neural network and cosmological dynamics
971,user privacy,0.2018,Method for Profile-Guided Optimization of Android Applications Using Random Forest
908,cad software solidworks,0.2015,Digital Twins for Micro Machining
1007,digital object identifier,0.2013,Multi-Dimensional Data Compression and Query Processing in Array Databases
508,bit error rate,0.2012,SCMA Codebook Design Based on a 16 Star-QAM with MED Maximization
1530,early internet,0.2009,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
207,learn,0.2006,Neural network training with highly incomplete medical datasets
186,optimization framework,0.2005,Carbon Footprint vs Energy Optimization in IoT Network Deployments
226,erroneous behavior,0.2003,Detection of Cluster Anomalies With ML Techniques
390,complex scenario,0.2,Subaging in underparametrized deep neural networks 
1308,example,0.1997,Implicit privacy preservation: a framework based on data generation
867,mass customization,0.1997,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
868,low product costs,0.1995,Study on the Application of the Holistic Optimization Method of the Manufacturing Process in the Case of a Reduced Instances Database
1447,different dimension problems,0.1992,Ant colony optimization with semi random initialization for nurse rostering problem
711,mean field,0.1991,A duality connecting neural network and cosmological dynamics
446,packetized,0.1991,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
1408,computation challenges,0.1984,R-tree data structure implementation for Computer Aided Engineering (CAE) tools
391,finite,0.1982,Subaging in underparametrized deep neural networks 
70,dataset,0.1976,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
630,clinical hypothesis testing,0.1976,Fully Bayesian estimation of virtual brain parameters with self-tuning Hamiltonian Monte Carlo
1150,delay,0.1974,Reduction of the Delays Within an Intrusion Detection System (IDS) Based on Software Defined Networking (SDN)
747,power consumption,0.1971,Convolutional neural networks with radio-frequency spintronic nano-devices
568,reduction,0.1968,Non-negative Matrix Factorization for Dimensionality Reduction
1167,garbled circuits,0.1968,Concretely efficient secure multi-party computation protocols: survey and more
248,regularization algorithms,0.1967,Synaptic 1/f noise injection for overfitting suppression in hardware neural networks
1110,fraud detection,0.1957,Box-constrained optimization for minimax supervised learning
768,sparse data,0.1954,General spiking neural network framework for the learning trajectory from a noisy mmWave radar
646,further distribution,0.1945,Learning tree structures from leaves for particle decay reconstruction
1531,head,0.1945,The Metaverse and Beyond: Implementing Advanced Multiverse Realms With Smart Wearables
1046,transition software,0.1943,Predictive Hybrid Autoscaling for Containerized Applications
930,rapid market changes,0.1936,Management of tools in digital manufacturing - A case study
909,workpiece,0.1935,Digital Twins for Micro Machining
846,digital object identifier,0.1932,Machine Learning-Based Early Skip Decision for Intra Subpartition Prediction in VVC
1250,external input,0.193,Optimal injection attack strategy for cyber-physical systems: a dynamic feedback approach
1033,pixel images,0.1926,Associative memories using complex-valued Hopfield networks based on spin-torque oscillator arrays
1309,social governance,0.1923,Implicit privacy preservation: a framework based on data generation
227,cc technologies,0.1916,Detection of Cluster Anomalies With ML Techniques
712,exponential,0.1912,A duality connecting neural network and cosmological dynamics
1127,reduced resolutions,0.1911,Multilevel minimization for deep residual networks
748,frequency signals,0.191,Convolutional neural networks with radio-frequency spintronic nano-devices
47,claim,0.1908,Audiogram Digitization Tool for Audiological Reports
749,path currents,0.1907,Convolutional neural networks with radio-frequency spintronic nano-devices
392,local maxima,0.1903,Subaging in underparametrized deep neural networks 
713,detailed understanding,0.1901,A duality connecting neural network and cosmological dynamics
48,nihl annotation portal,0.1899,Audiogram Digitization Tool for Audiological Reports
1591,flow,0.1898,Particle-based fast jet simulation at the LHC with variational autoencoders
1569,carlstrom et al,0.1898,Predicting the thermal Sunyaev–Zel'dovich field using modular and equivariant set-based neural networks
90,mutation,0.1897, Modified Evolutionary Algorithm for Generating the Cycling Training Routes
1448,construction solution phase,0.1897,Ant colony optimization with semi random initialization for nurse rostering problem
167,situ inference,0.1897,A biology-informed similarity metric for simulated patches of human cell membrane
647,transformer encoder,0.1897,Learning tree structures from leaves for particle decay reconstruction
71,record types,0.1892,A Comprehensive Study of DNS Operational Issues by Mining DNS Forums
447,hydrogen,0.189,Industrial Energy Management System: Design of a Conceptual Framework Using IoT and Big Data
150,complex operations,0.1889, Reliability aspects of binary vector-matrixmultiplications using ReRAM devices
807,single photon detectors,0.1887,superconducting nanowire-based architecture for neuromorphic computing
348,users privacy,0.1878,"Features-Based IoT Security Authentication Framework Using Statistical Aggregation, Entropy, and MOORA Approaches"
985,voltage deviations,0.1877,Microgrid Power Sharing Framework for Software Defined Networking and Cybersecurity Analysis
489,specificity,0.1873,A comparative study of Machine learning Algorithms on the UNSW-NB 15 Dataset
528,communications systems,0.1866,Denoising Esophageal Speech using Combination of Complex and Discrete Wavelet Transform with Wiener filter and Time Dilated Fourier Cepstra
1608,scalability,0.186,Massively scalable wavelength diverse integrated photonic linear neuron
